DATE,PRCP,SNWD,TMAX,TMIN,TOBS
1/1/2020,0.19,,27,20,21
1/2/2020,0.05,24,27,18,27
1/3/2020,0,24,33,26,32
1/4/2020,0.11,26,33,28,31
1/5/2020,0.08,28,31,,9
1/6/2020,0.06,28,20,7,20
1/7/2020,0.06,30,21,,18
1/8/2020,0.33,33,22,18,18
1/9/2020,0.1,34,20,-6,17
1/10/2020,0.05,33,31,12,30
1/11/2020,0.17,,48,30,48
1/12/2020,1.04,18,51,13,13
1/13/2020,,18,26,8,25
1/14/2020,0.02,18,26,19,25
1/15/2020,0.2,22,30,22,22
1/16/2020,0.45,30,24,16,16
1/17/2020,0.21,,16,-14,-1
1/18/2020,0.12,34,16,-10,8
1/19/2020,0.38,,21,2,2
1/20/2020,0.03,40,9,-5,8
1/21/2020,0,,15,-4,10
1/22/2020,0,,26,6,22
1/23/2020,0,,25,20,22
1/24/2020,0,,33,22,29
1/25/2020,,,29,23,28
1/26/2020,0.39,,32,26,26
1/27/2020,0.42,43,26,24,24
1/28/2020,,48,34,17,17
1/29/2020,0,,17,8,15
1/30/2020,0,47,27,7,26
1/31/2020,0,,28,14,24
2/1/2020,0,,24,20,22
2/2/2020,0.02,,23,16,20
2/3/2020,0,46,25,19,25
2/4/2020,0.02,,30,20,26
2/5/2020,0.05,44,27,11,14
2/6/2020,0.38,46,21,8,21
2/7/2020,1.06,,27,11,11
2/8/2020,1.56,60,11,-6,2
2/9/2020,0,,20,-5,18
2/10/2020,0.21,58,28,16,28
2/11/2020,0.15,58,31,21,27
2/12/2020,0.09,59,27,17,23
2/13/2020,0.17,60,29,19,27
2/14/2020,,59,27,-12,2
2/15/2020,0,59,20,-12,17
2/16/2020,0,,22,9,21
2/17/2020,0.04,59,22,11,20
2/18/2020,0.1,59,21,6,21
2/19/2020,0.04,59,31,12,14
2/20/2020,0,,14,-1,5
2/21/2020,0,,17,-4,16
2/22/2020,0,,23,10,22
2/23/2020,0,58,33,19,31
2/24/2020,0,,36,25,36
2/25/2020,0.07,56,37,32,35
2/26/2020,0.02,,36,28,30
2/27/2020,1.05,66,31,17,17
2/28/2020,1.1,80,17,9,15
2/29/2020,0.17,83,15,5,7
3/1/2020,,80,15,3,14
3/2/2020,0.13,77,33,10,33
3/3/2020,,74,39,33,36
3/4/2020,0.07,69,39,23,23
3/5/2020,0,69,28,20,27
3/6/2020,0,69,31,19,27
3/7/2020,0.08,69,27,5,15
3/8/2020,,68,33,11,32
3/9/2020,0,67,48,31,47
3/10/2020,0.19,66,49,39,41
3/11/2020,0.27,,42,12,20
3/12/2020,,62,33,16,31
3/13/2020,0.31,,38,26,31
3/14/2020,0.13,61,32,20,28
3/15/2020,,,28,9,14
3/16/2020,0.44,,29,8,28
3/17/2020,,,29,17,29
3/18/2020,,62,30,18,25
3/19/2020,0.08,62,31,24,31
3/20/2020,,,51,31,49
3/21/2020,0.36,,50,8,15
3/22/2020,0,,25,3,22
3/23/2020,0.02,,25,14,19
3/24/2020,0.43,,28,19,25
3/25/2020,,61,31,20,29
3/26/2020,,60,45,24,42
3/27/2020,0,,43,25,31
3/28/2020,0,58,43,22,40
3/29/2020,0.19,,41,30,30
3/30/2020,0.35,,35,27,30
3/31/2020,0.07,,35,25,33
