DATE,PRCP,SNWD
1/1/2020,0.19,
1/2/2020,0.05,24
1/3/2020,0,24
1/4/2020,0.11,26
1/5/2020,0.08,28
1/6/2020,0.06,28
1/7/2020,0.06,30
1/8/2020,0.33,33
1/9/2020,0.1,34
1/10/2020,0.05,33
1/11/2020,0.17,
1/12/2020,1.04,18
1/13/2020,,18
1/14/2020,0.02,18
1/15/2020,0.2,22
1/16/2020,0.45,30
1/17/2020,0.21,
1/18/2020,0.12,34
1/19/2020,0.38,
1/20/2020,0.03,40
1/21/2020,0,
1/22/2020,0,
1/23/2020,0,
1/24/2020,0,
1/25/2020,,
1/26/2020,0.39,
1/27/2020,0.42,43
1/28/2020,,48
1/29/2020,0,
1/30/2020,0,47
1/31/2020,0,
2/1/2020,0,
2/2/2020,0.02,
2/3/2020,0,46
2/4/2020,0.02,
2/5/2020,0.05,44
2/6/2020,0.38,46
2/7/2020,1.06,
2/8/2020,1.56,60
2/9/2020,0,
2/10/2020,0.21,58
2/11/2020,0.15,58
2/12/2020,0.09,59
2/13/2020,0.17,60
2/14/2020,,59
2/15/2020,0,59
2/16/2020,0,
2/17/2020,0.04,59
2/18/2020,0.1,59
2/19/2020,0.04,59
2/20/2020,0,
2/21/2020,0,
2/22/2020,0,
2/23/2020,0,58
2/24/2020,0,
2/25/2020,0.07,56
2/26/2020,0.02,
2/27/2020,1.05,66
2/28/2020,1.1,80
2/29/2020,0.17,83
3/1/2020,,80
3/2/2020,0.13,77
3/3/2020,,74
3/4/2020,0.07,69
3/5/2020,0,69
3/6/2020,0,69
3/7/2020,0.08,69
3/8/2020,,68
3/9/2020,0,67
3/10/2020,0.19,66
3/11/2020,0.27,
3/12/2020,,62
3/13/2020,0.31,
3/14/2020,0.13,61
3/15/2020,,
3/16/2020,0.44,
3/17/2020,,
3/18/2020,,62
3/19/2020,0.08,62
3/20/2020,,
3/21/2020,0.36,
3/22/2020,0,
3/23/2020,0.02,
3/24/2020,0.43,
3/25/2020,,61
3/26/2020,,60
3/27/2020,0,
3/28/2020,0,58
3/29/2020,0.19,
3/30/2020,0.35,
3/31/2020,0.07,
